"Program_Code","Quality","Sustainability","Program_Type","Faculty","Department","DEPARTMENT_ID","Program","Type_of_Program","Includes_Degree_Types","Author","Approver","Level"
"AC2100",3.59,3.26,"Academic","LA&PS","Public Policy & Admin",57100,"Business","Degree (Major/Minor/Certificate)","","Peggy Ng","Martin Singer","Other"
"AC2110",4.56,4,"Academic","LA&PS","Public Policy & Admin",57100,"Disaster & Emergency Management","Degree (Major/Minor/Certificate)","BDEM","Peggy Ng","Martin Singer","Bachelor"
"AC2120",5.01,4.91,"Academic","LA&PS","Public Policy & Admin",57100,"Disaster & Emergency Management","Graduate Degree","MDEM","Peggy Ng","Martin Singer","Master"
"AC2130",3.83,4.2,"Academic","LA&PS","Public Policy & Admin",57100,"Financial Accountability","Graduate Degree","MFAc","Peggy Ng","Martin Singer","Master"
"AC2150",3.72,3.4,"Academic","LA&PS","Social Science",57450,"African Studies","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer","Bachelor"
"AC2160",4.89,7.19,"Academic","LA&PS","Social Science",57450,"Business & Society","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer","Bachelor"
"AC2170",5.62,6.79,"Academic","LA&PS","Social Science",57450,"Criminology","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer","Bachelor"
"AC2180",5.44,6.21,"Academic","LA&PS","Social Science",57450,"Health & Society","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer","Bachelor"
"AC2190",5.44,6.01,"Academic","LA&PS","Social Science",57450,"International Development Studies","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer","Bachelor"
"AC2200",3.47,2.57,"Academic","LA&PS","Social Science",57450,"Latin American & Caribbean Studies","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer","Bachelor"
"AC2210",5,5.51,"Academic","LA&PS","Social Science",57450,"Law and Society","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer","Bachelor"
"AC2230",4.01,6.11,"Academic","LA&PS","Social Science",57450,"Social Science","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer","Bachelor"
"AC2240",3.82,2.59,"Academic","LA&PS","Social Science",57450,"South Asian Studies","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer","Bachelor"
"AC2250",4.38,4.3,"Academic","LA&PS","Social Science",57450,"Urban Studies","Degree (Major/Minor/Certificate)","BA, iBA","Kimberley White","Martin Singer","Bachelor"
