"Program_Code","Program_Type","Faculty","Department","DEPARTMENT_ID","Program","Type_of_Program","Includes_Degree_Types","Author","Approver","Quality","Sustainability","Level"
"AC1100","Academic","Health","Psychology",13400,"Psychology","Degree (minor/major, certificate)","BA","Suzanne Macdonald","Harvey Skinner",5,6.71,"Undergraduate"
"AC1110","Academic","Health","Faculty of Health",226,"Psychology","Degree (minor/major, certificate)","BSc","Suzanne Macdonald","Harvey Skinner",5,6.71,"Undergraduate"
"AC1120","Academic","Health","Psychology",13400,"Psychology","Graduate Degree","MA","Suzanne Macdonald","Harvey Skinner",6.78,6.5,"Master's"
"AC1130","Academic","Health","Psychology",13400,"Psychology","Graduate Degree","PhD","Suzanne Macdonald","Harvey Skinner",6.78,6.79,"PhD"
"AC1180","Academic","LA&PS","Anthropology",56550,"Anthropology","Degree (Major/Minor/Certificate)","BA, iBA","Albert Schrauwers","Martin Singer",6.34,5.91,"Undergraduate"
"AC1190","Academic","LA&PS","Anthropology",56550,"Anthropology – Social (Social Anthropology)","Graduate Degree","MA","Albert Schrauwers","Martin Singer",5.54,5.11,"Master's"
"AC1200","Academic","LA&PS","Anthropology",56550,"Anthropology – Social (Social Anthropology)","Graduate Degree","PhD","Albert Schrauwers","Martin Singer",5.7,5.41,"PhD"
"AC1220","Academic","LA&PS","Communication Studies",57200,"Communication Studies","Degree (Major/Minor/Certificate)","BA, iBA","Kevin Dowler","Martin Singer",5.61,6.51,"Undergraduate"
"AC1230","Academic","LA&PS","Communication Studies",57200,"Communication & Culture","Graduate Degree","MA (with Ryerson)","Kevin Dowler","Martin Singer",6.24,7.08,"Master's"
"AC1240","Academic","LA&PS","Communication Studies",57200,"Communication & Culture","Graduate Degree","PhD (with Ryerson)","Kevin Dowler","Martin Singer",6.24,7.08,"PhD"
"AC1260","Academic","LA&PS","Languages Lit Ling",56950,"German Studies","Degree (Major/Minor/Certificate)","BA, iBA","Pietro Giordan","Martin Singer",5.88,3.8,"Undergraduate"
"AC1270","Academic","LA&PS","Languages Lit Ling",56950,"Italian Culture","Degree (Major/Minor/Certificate)","BA","Pietro Giordan","Martin Singer",5.27,3.1,"Undergraduate"
"AC1280","Academic","LA&PS","Languages Lit Ling",56950,"Italian Studies","Degree (Major/Minor/Certificate)","BA, iBA","Pietro Giordan","Martin Singer",5.25,3.79,"Undergraduate"
"AC1290","Academic","LA&PS","Languages Lit Ling",56950,"Japanese","Degree (Major/Minor/Certificate)","BA","Pietro Giordan","Martin Singer",5.18,4.88,"Undergraduate"
"AC1300","Academic","LA&PS","Languages Lit Ling",56950,"Linguistics","Degree (Major/Minor/Certificate)","BA","Pietro Giordan","Martin Singer",5.87,6.22,"Undergraduate"
"AC1310","Academic","LA&PS","Languages Lit Ling",56950,"Portugese Studies","Degree (Major/Minor/Certificate)","BA","Pietro Giordan","Martin Singer",4.73,3.39,"Undergraduate"
"AC1320","Academic","LA&PS","Languages Lit Ling",56950,"Spanish","Degree (Major/Minor/Certificate)","BA","Pietro Giordan","Martin Singer",5.26,4.3,"Undergraduate"
"AC1325","Academic","LA&PS","Languages Lit Ling",56950,"Non- Degree and Non-Certificate Languages","Non- Degree","Non-Degree Studies","Pietro Giordan","Martin Singer",5.01,4.91,"Other"
"AC1350","Academic","LA&PS","Languages Lit Ling",56950,"Undergraduate Certificates","Degree (Major/Minor/Certificate)","Certificate","Pietro Giordan","Martin Singer",4.34,3.4,"Other"
"AC1355","Academic","LA&PS","Languages Lit Ling",56950,"ESL","Non- Degree","Non-Degree Studies","Pietro Giordan","Martin Singer",4.56,5.11,"Other"
"AC1360","Academic","LA&PS","Languages Lit Ling",56950,"Linguistics & Applied Linguistics","Graduate Degree","MA","Pietro Giordan","Martin Singer",5.44,4.91,"Master's"
"AC1370","Academic","LA&PS","Languages Lit Ling",56950,"Linguistics & Applied Linguistics","Graduate Degree","PhD","Pietro Giordan","Martin Singer",5.7,4.92,"PhD"
"AC1380","Academic","LA&PS","Economics",56600,"Business Economics","Degree (Major/Minor/Certificate)","BA","Mahmudul Anam","Martin Singer",5.35,6.59,"Undergraduate"
"AC1390","Academic","LA&PS","Economics",56600,"Economics","Degree (Major/Minor/Certificate)","BA","Mahmudul Anam","Martin Singer",5.44,7.81,"Undergraduate"
"AC1400","Academic","LA&PS","Economics",56600,"Financial & Business Economics","Degree (Major/Minor/Certificate)","BA","Mahmudul Anam","Martin Singer",5.44,6.59,"Undergraduate"
"AC1420","Academic","LA&PS","Economics",56600,"Economics","Graduate Degree","MA","Mahmudul Anam","Martin Singer",4.73,5.31,"Master's"
"AC1430","Academic","LA&PS","Economics",56600,"Economics","Graduate Degree","PhD","Mahmudul Anam","Martin Singer",4.1,4.69,"PhD"
"AC1440","Academic","LA&PS","English",56650,"Creative Writing","Degree (Major/Minor/Certificate)","BA","Jonathan Warren","Martin Singer",6.85,5.09,"Undergraduate"
"AC1450","Academic","LA&PS","English",56650,"English","Degree (Major/Minor/Certificate)","BA","Jonathan Warren","Martin Singer",5.63,4.81,"Undergraduate"
"AC1460","Academic","LA&PS","English",56650,"English","Graduate Degree","MA","Jonathan Warren","Martin Singer",6.16,5.01,"Master's"
"AC1470","Academic","LA&PS","English",56650,"English","Graduate Degree","PhD","Jonathan Warren","Martin Singer",6.34,5.08,"PhD"
"AC1480","Academic","LA&PS","Equity Studies",56700,"Human Rights & Equity Studies","Degree (Major/Minor/Certificate)","BA","Minoo Derayeh","Martin Singer",5.18,6.92,"Undergraduate"
"AC1490","Academic","LA&PS","Equity Studies",56700,"Multicultural and Indigenous Studies","Degree (Major/Minor/Certificate)","BA","Minoo Derayeh","Martin Singer",4.99,3.7,"Undergraduate"
"AC1510","Academic","LA&PS","French Studies",56750,"French Studies","Degree (Major/Minor/Certificate)","BA, iBA","Monique Adriaen","Martin Singer",5.24,4.4,"Undergraduate"
"AC1540","Academic","LA&PS","Gender, Sexuality and Women's Studies",9005,"Gender and Women Studies","Degree (Major/Minor/Certificate)","BA","Gertrude Mianda","Martin Singer",4.74,4.6,"Undergraduate"
"AC1540","Academic","LA&PS","Gender, Sexuality and Women's Studies",9005,"Gender and Women Studies","Degree (Major/Minor/Certificate)","BA","Gertrude Mianda","Martin Singer",4.73,4.6,"Undergraduate"
"AC1550","Academic","LA&PS","Gender, Sexuality and Women's Studies",9005,"Sexuality Studies","Degree (Major/Minor/Certificate)","BA, iBA","Gertrude Mianda","Martin Singer",4.28,3.85,"Undergraduate"
